adr_id,compound_id,source
C1698818,CHEMBL535,SIDER
C0002170,CHEMBL535,SIDER
C0003123,CHEMBL535,SIDER
C0232462,CHEMBL535,SIDER
C0009450,CHEMBL535,SIDER
C0009806,CHEMBL535,SIDER
C0011603,CHEMBL535,SIDER
C0011991,CHEMBL535,SIDER
C0015230,CHEMBL535,SIDER
C0015376,CHEMBL535,SIDER
C0015672,CHEMBL535,SIDER
C0004093,CHEMBL535,SIDER
C0020517,CHEMBL535,SIDER
C0023380,CHEMBL535,SIDER
C0023530,CHEMBL535,SIDER
C0027497,CHEMBL535,SIDER
C0033774,CHEMBL535,SIDER
C0036572,CHEMBL535,SIDER
C0038362,CHEMBL535,SIDER
C0040034,CHEMBL535,SIDER
C0041834,CHEMBL535,SIDER
C0042109,CHEMBL535,SIDER
C0042963,CHEMBL535,SIDER
C0043144,CHEMBL535,SIDER
C0231218,CHEMBL535,SIDER
C0234215,CHEMBL535,SIDER
C1443060,CHEMBL535,SIDER
C2047937,CHEMBL535,SIDER
C0340865,CHEMBL535,SIDER
C0002792,CHEMBL535,SIDER
C0700225,CHEMBL535,SIDER
C0235431,CHEMBL535,SIDER
C0746883,CHEMBL535,SIDER
C1325847,CHEMBL535,SIDER
C2609414,CHEMBL535,SIDER
C0022660,CHEMBL535,SIDER
C0015967,CHEMBL535,SIDER
C0039070,CHEMBL535,SIDER
C0012833,CHEMBL535,SIDER
C0041657,CHEMBL535,SIDER
C0036974,CHEMBL535,SIDER
C0000737,CHEMBL535,SIDER
C0687713,CHEMBL535,SIDER
C0009676,CHEMBL535,SIDER
C0013378,CHEMBL535,SIDER
C0013395,CHEMBL535,SIDER
C0013404,CHEMBL535,SIDER
C0017178,CHEMBL535,SIDER
C0037274,CHEMBL535,SIDER
C0151746,CHEMBL535,SIDER
C1565489,CHEMBL535,SIDER
C0232492,CHEMBL535,SIDER
C0232495,CHEMBL535,SIDER
C0232498,CHEMBL535,SIDER
C0242656,CHEMBL535,SIDER
C0267537,CHEMBL535,SIDER
C0424790,CHEMBL535,SIDER
C0085593,CHEMBL535,SIDER
C0442874,CHEMBL535,SIDER
C0031117,CHEMBL535,SIDER
C1325847,CHEMBL535,SIDER
C0000737,CHEMBL535,SIDER
C0687713,CHEMBL535,SIDER
C0000832,CHEMBL535,SIDER
C0002792,CHEMBL535,SIDER
C0003811,CHEMBL535,SIDER
C0003862,CHEMBL535,SIDER
C0948594,CHEMBL535,SIDER
C0004093,CHEMBL535,SIDER
C0004096,CHEMBL535,SIDER
C0004604,CHEMBL535,SIDER
C0006266,CHEMBL535,SIDER
C0008031,CHEMBL535,SIDER
C0010200,CHEMBL535,SIDER
C0011175,CHEMBL535,SIDER
C0011991,CHEMBL535,SIDER
C0012739,CHEMBL535,SIDER
C0012833,CHEMBL535,SIDER
C0013404,CHEMBL535,SIDER
C0013927,CHEMBL535,SIDER
C1868769,CHEMBL535,SIDER
C0014179,CHEMBL535,SIDER
C0015230,CHEMBL535,SIDER
C0011603,CHEMBL535,SIDER
C0015930,CHEMBL535,SIDER
C0015967,CHEMBL535,SIDER
C0016382,CHEMBL535,SIDER
C0018681,CHEMBL535,SIDER
C0018790,CHEMBL535,SIDER
C0018811,CHEMBL535,SIDER
C0019521,CHEMBL535,SIDER
C0020517,CHEMBL535,SIDER
C0020538,CHEMBL535,SIDER
C0020649,CHEMBL535,SIDER
C0021053,CHEMBL535,SIDER
C0021368,CHEMBL535,SIDER
C0023067,CHEMBL535,SIDER
C0023218,CHEMBL535,SIDER
C0037763,CHEMBL535,SIDER
C0026821,CHEMBL535,SIDER
C0026826,CHEMBL535,SIDER
C0027051,CHEMBL535,SIDER
C0948089,CHEMBL535,SIDER
C0027497,CHEMBL535,SIDER
C0030193,CHEMBL535,SIDER
C0030554,CHEMBL535,SIDER
C0031350,CHEMBL535,SIDER
C0032797,CHEMBL535,SIDER
C0032961,CHEMBL535,SIDER
C0036973,CHEMBL535,SIDER
C0085593,CHEMBL535,SIDER
C0036974,CHEMBL535,SIDER
C0039070,CHEMBL535,SIDER
C0041657,CHEMBL535,SIDER
C0039231,CHEMBL535,SIDER
C0040822,CHEMBL535,SIDER
C0042143,CHEMBL535,SIDER
C0042267,CHEMBL535,SIDER
C0404521,CHEMBL535,SIDER
C0042373,CHEMBL535,SIDER
C0042963,CHEMBL535,SIDER
C0042996,CHEMBL535,SIDER
C0043144,CHEMBL535,SIDER
C0079043,CHEMBL535,SIDER
C0080274,CHEMBL535,SIDER
C0151315,CHEMBL535,SIDER
C0948525,CHEMBL535,SIDER
C1320474,CHEMBL535,SIDER
C0151604,CHEMBL535,SIDER
C0151827,CHEMBL535,SIDER
C0151907,CHEMBL535,SIDER
C0231528,CHEMBL535,SIDER
C0232292,CHEMBL535,SIDER
C0235710,CHEMBL535,SIDER
C0233494,CHEMBL535,SIDER
C0236082,CHEMBL535,SIDER
C0520588,CHEMBL535,SIDER
C0262397,CHEMBL535,SIDER
C0269806,CHEMBL535,SIDER
C0269842,CHEMBL535,SIDER
C0340865,CHEMBL535,SIDER
C0344232,CHEMBL535,SIDER
C0392618,CHEMBL535,SIDER
C1868855,CHEMBL535,SIDER
C0410916,CHEMBL535,SIDER
C0424535,CHEMBL535,SIDER
C0700200,CHEMBL535,SIDER
C0558368,CHEMBL535,SIDER
C0520587,CHEMBL535,SIDER
C0595939,CHEMBL535,SIDER
C0600142,CHEMBL535,SIDER
C0236075,CHEMBL535,SIDER
C0700590,CHEMBL535,SIDER
C0020458,CHEMBL535,SIDER
C1384666,CHEMBL535,SIDER
C0011053,CHEMBL535,SIDER
C2004487,CHEMBL535,SIDER
C0000737,CHEMBL535,SIDER
C0687713,CHEMBL535,SIDER
C0002792,CHEMBL535,SIDER
C0002871,CHEMBL535,SIDER
C0003123,CHEMBL535,SIDER
C0232462,CHEMBL535,SIDER
C0003467,CHEMBL535,SIDER
C0003862,CHEMBL535,SIDER
C0948594,CHEMBL535,SIDER
C0003864,CHEMBL535,SIDER
C0003962,CHEMBL535,SIDER
C0004093,CHEMBL535,SIDER
C0004604,CHEMBL535,SIDER
C0004936,CHEMBL535,SIDER
C0007642,CHEMBL535,SIDER
C0007859,CHEMBL535,SIDER
C0008031,CHEMBL535,SIDER
C0009326,CHEMBL535,SIDER
C0009450,CHEMBL535,SIDER
C0009782,CHEMBL535,SIDER
C0009806,CHEMBL535,SIDER
