gp_id,bp_id,source
Q7Z4H4,GO:0001525,GO
P01135,GO:0001525,GO
P01133,GO:0001525,GO
P01127,GO:0001525,GO
Q8TB73,GO:0001525,GO
P11362,GO:0001525,GO
O60462,GO:0001525,GO
O76093,GO:0001525,GO
P09619,GO:0001525,GO
Q7Z5H3,GO:0001525,GO
A8K0S8,GO:0001525,GO
P08572,GO:0001525,GO
P08514,GO:0001525,GO
O60894,GO:0001525,GO
P55347,GO:0001525,GO
P02751,GO:0001525,GO
P05412,GO:0001525,GO
P15692,GO:0001525,GO
P63104,GO:0001525,GO
Q15389,GO:0001525,GO
P48357,GO:0001525,GO
Q86Y25,GO:0001525,GO
P06576,GO:0001525,GO
Q9HDB5,GO:0001525,GO
Q9HCX3,GO:0001525,GO
Q08431,GO:0001525,GO
P48745,GO:0001525,GO
P48736,GO:0001525,GO
P41970,GO:0001525,GO
P21453,GO:0001525,GO
O96004,GO:0001525,GO
Q6UXH8,GO:0001525,GO
Q6UXB2,GO:0001525,GO
P58400,GO:0001525,GO
P41159,GO:0001525,GO
Q13887,GO:0001525,GO
Q9HC23,GO:0001525,GO
P16284,GO:0001525,GO
P31151,GO:0001525,GO
Q6UW88,GO:0001525,GO
Q6UVK1,GO:0001525,GO
P52735,GO:0001525,GO
O43435,GO:0001525,GO
Q14289,GO:0001525,GO
O43915,GO:0001525,GO
P35613,GO:0001525,GO
O60243,GO:0001525,GO
P35414,GO:0001525,GO
P25106,GO:0001525,GO
P25101,GO:0001525,GO
P35398,GO:0001525,GO
O15431,GO:0001525,GO
P04216,GO:0001525,GO
P61296,GO:0001525,GO
Q9NZ08,GO:0001525,GO
P06756,GO:0001525,GO
P78504,GO:0001525,GO
P14651,GO:0001525,GO
Q13685,GO:0001525,GO
O15520,GO:0001525,GO
Q13480,GO:0001525,GO
P04196,GO:0001525,GO
Q13467,GO:0001525,GO
Q13444,GO:0001525,GO
Q9NZJ5,GO:0001525,GO
Q03169,GO:0001525,GO
Q9NZI7,GO:0001525,GO
O15123,GO:0001525,GO
Q03135,GO:0001525,GO
Q13370,GO:0001525,GO
O15041,GO:0001525,GO
P31371,GO:0001525,GO
P51817,GO:0001525,GO
P78362,GO:0001525,GO
Q9UK05,GO:0001525,GO
Q8IVF7,GO:0001525,GO
